user_id,first_completed_tx,last_completed_tx,tx_completed_count,tx_amount_total,tx_amount_avg,days_since_last_completed,churn_flag
user_2811,2018-03-21 23:36:16,2018-05-20 07:45:36,57.0,9341.32,163.88280701754385,361,1
user_4750,2018-04-07 06:53:12,2018-11-04 07:41:39,79.0,2343.19,29.660632911392405,193,1
user_17686,2018-12-04 10:30:42,2019-05-11 09:33:37,174.0,8562.77,49.21132183908046,5,0
user_18779,2018-12-31 07:46:58,2018-12-31 07:46:58,1.0,10.0,10.0,136,1
user_7823,2018-06-07 03:37:03,2019-02-04 05:57:30,21.0,297.55,14.16904761904762,101,1
user_17106,2018-12-18 20:05:45,2019-05-12 00:34:29,18.0,1416.71,78.70611111111111,4,0
user_19355,2018-12-22 07:34:48,2019-05-10 02:52:06,344.0,15726.73,45.71723837209302,6,0
user_12113,2019-01-20 12:21:38,2019-01-20 12:21:38,1.0,17.45,17.45,116,1
user_17075,2018-12-27 04:08:49,2018-12-27 04:08:49,1.0,8.51,8.51,140,1
user_5056,2018-05-16 10:07:27,2019-05-10 10:47:23,390.0,10976.49,28.144846153846153,6,0
user_6983,2018-06-09 18:58:31,2018-09-10 11:32:40,74.0,1711.94,23.134324324324325,248,1
user_15320,2018-11-02 04:47:42,2019-05-07 12:36:03,15.0,713.59,47.57266666666667,9,0
user_18915,2018-12-23 11:53:49,2019-01-13 06:48:40,3.0,25.53,8.51,123,1
user_12595,2018-09-22 04:02:00,2019-03-02 02:18:57,92.0,6113.8,66.45434782608696,75,1
user_13542,2018-10-20 06:41:37,2018-10-20 06:46:50,2.0,13.78,6.89,208,1
user_15731,2018-11-27 07:39:08,2019-04-27 21:43:01,20.0,1782.8700000000001,89.1435,18,0
user_16660,2018-11-24 15:51:32,2019-04-11 08:15:58,4.0,107.38,26.845,35,1
user_17932,2018-12-25 10:06:55,2019-04-14 21:42:37,13.0,149.62,11.50923076923077,31,1
user_16203,2018-11-02 21:02:49,2019-05-03 18:40:35,119.0,3756.24,31.56504201680672,12,0
user_5795,2018-05-27 02:53:21,2018-05-27 03:57:50,3.0,20.14,6.713333333333334,354,1
user_38,2018-01-19 20:52:40,2018-09-07 07:55:04,278.0,8784.2,31.597841726618707,251,1
user_454,2018-01-14 11:35:40,2019-05-06 08:26:56,79.0,2964.76,37.52860759493671,10,0
user_678,2018-01-18 06:24:30,2018-12-14 01:35:02,86.0,3758.04,43.69813953488372,153,1
user_7665,2018-06-21 07:25:33,2019-03-23 12:37:40,488.0,13231.02,27.112745901639347,54,1
user_13729,2018-10-26 16:11:02,2019-05-05 10:24:11,44.0,3869.28,87.93818181818182,11,0
user_16702,2018-11-08 07:08:44,2019-05-07 05:18:14,105.0,1333.42,12.699238095238096,9,0
user_2331,2018-03-03 08:44:53,2019-05-04 22:37:42,277.0,22456.75,81.07129963898917,11,0
user_12278,2018-09-18 13:56:40,2019-05-06 18:40:12,12.0,758.11,63.17583333333334,9,0
user_17982,2018-12-04 07:42:05,2019-04-26 00:42:41,14.0,551.38,39.38428571428572,20,0
user_8190,2018-07-17 02:36:11,2018-07-17 02:42:50,2.0,13.61,6.805,303,1
user_14867,2018-10-20 00:50:36,2019-05-10 22:54:16,131.0,2487.07,18.98526717557252,5,0
user_18931,2019-01-22 06:32:31,2019-05-08 03:09:03,46.0,1594.8899999999999,34.671521739130434,8,0
user_4265,2018-05-12 10:10:31,2018-05-12 10:14:28,3.0,20.07,6.69,369,1
user_7639,2018-06-06 20:20:54,2019-04-01 06:43:21,48.0,4598.28,95.7975,45,1
user_11804,2018-09-12 13:18:02,2019-02-10 11:53:18,217.0,4379.54,20.18221198156682,95,1
user_3907,2018-06-01 19:24:12,2019-05-05 14:07:33,55.0,5527.95,100.50818181818181,11,0
user_5909,2018-05-27 08:34:10,2019-05-12 11:21:56,114.0,10536.2,92.42280701754386,4,0
user_12227,2018-09-05 18:11:55,2019-04-16 00:24:26,162.0,3872.74,23.9058024691358,30,0
user_9553,2018-07-14 06:15:41,2019-05-06 14:13:04,28.0,729.92,26.068571428571428,10,0
user_1350,2018-03-27 15:58:08,2018-11-01 20:01:22,24.0,588.93,24.538749999999997,195,1
user_3110,2018-03-27 19:58:36,2018-06-08 18:55:19,33.0,1046.67,31.71727272727273,341,1
user_13366,2018-10-22 23:08:30,2019-04-30 20:06:30,93.0,2217.0,23.838709677419356,15,0
user_17254,2018-12-25 05:32:11,2019-05-04 09:24:41,10.0,523.98,52.398,12,0
user_14444,2018-10-18 23:59:56,2019-05-11 08:37:38,85.0,6745.08,79.35388235294117,5,0
user_16890,2018-11-16 00:31:52,2019-05-06 16:55:57,371.0,8959.21,24.148814016172505,10,0
